algorithm,array_type,n,avg_time_us,avg_char_comparisons
quickSort,random,100,4.958,1925
mergeSort,random,100,7.19433,622
TernaryQuickSort,random,100,135.875,1215
StringMergeSort,random,100,5.43033,521
MSDRadixSort,random,100,80.7777,178
MSBRadixSort,random,100,39.1667,305
quickSort,reverse,100,5.24967,2282
mergeSort,reverse,100,5.70833,366
TernaryQuickSort,reverse,100,448.903,3006
StringMergeSort,reverse,100,4.18033,268
MSDRadixSort,reverse,100,78.861,176
MSBRadixSort,reverse,100,45.778,261
quickSort,almost,100,5.81967,2906
mergeSort,almost,100,7.22233,458
TernaryQuickSort,almost,100,272.625,3082
StringMergeSort,almost,100,4.30567,357
MSDRadixSort,almost,100,64.5137,161
MSBRadixSort,almost,100,38.1807,276
quickSort,random,200,10.764,5662
mergeSort,random,200,15.4583,1487
TernaryQuickSort,random,200,440.472,2575
StringMergeSort,random,200,10.0417,1161
MSDRadixSort,random,200,171.305,402
MSBRadixSort,random,200,89.0137,756
quickSort,reverse,200,9.51367,4897
mergeSort,reverse,200,10.444,898
TernaryQuickSort,reverse,200,1250.75,8237
StringMergeSort,reverse,200,7.389,548
MSDRadixSort,reverse,200,153.695,394
MSBRadixSort,reverse,200,107.917,696
quickSort,almost,200,9.847,4953
mergeSort,almost,200,11.32,1208
TernaryQuickSort,almost,200,745.43,7501
StringMergeSort,almost,200,8.65267,688
MSDRadixSort,almost,200,144.75,395
MSBRadixSort,almost,200,111.333,978
quickSort,random,300,16.625,7279
mergeSort,random,300,21.7917,2519
TernaryQuickSort,random,300,478.708,3949
StringMergeSort,random,300,17.583,1915
MSDRadixSort,random,300,230.264,623
MSBRadixSort,random,300,168.777,1311
quickSort,reverse,300,15.2227,7541
mergeSort,reverse,300,15.153,1513
TernaryQuickSort,reverse,300,1511.04,12591
StringMergeSort,reverse,300,10.0693,830
MSDRadixSort,reverse,300,196.125,607
MSBRadixSort,reverse,300,205.736,1367
quickSort,almost,300,13.3193,8161
mergeSort,almost,300,15.889,2043
TernaryQuickSort,almost,300,981.514,10999
StringMergeSort,almost,300,11.1113,1034
MSDRadixSort,almost,300,202.458,614
MSBRadixSort,almost,300,166.306,1837
quickSort,random,400,19.7917,9891
mergeSort,random,400,29.1803,3660
TernaryQuickSort,random,400,517.125,5630
StringMergeSort,random,400,29.2503,2703
MSDRadixSort,random,400,209.431,815
MSBRadixSort,random,400,210.93,1909
quickSort,reverse,400,26.4443,11410
mergeSort,reverse,400,24.6943,2219
TernaryQuickSort,reverse,400,2322.72,16525
StringMergeSort,reverse,400,17.1523,1182
MSDRadixSort,reverse,400,235.278,835
MSBRadixSort,reverse,400,270.319,2118
quickSort,almost,400,22.125,13591
mergeSort,almost,400,57.625,3054
TernaryQuickSort,almost,400,1393.51,17215
StringMergeSort,almost,400,15.5557,1465
MSDRadixSort,almost,400,209.792,823
MSBRadixSort,almost,400,239.639,2959
quickSort,random,500,29.0977,12408
mergeSort,random,500,120.514,4844
TernaryQuickSort,random,500,756.722,7116
StringMergeSort,random,500,30.1943,3517
MSDRadixSort,random,500,289.222,1031
